naziv,postna_stevilka,drzava
Draga,1319,SI
Dragatuš,8343,SI
Dramlje,3222,SI
Dravograd,2370,SI
Duplje,4203,SI
Dutovlje,6221,SI
Dvor,8361,SI
Fala,2343,SI
Fokovci,9208,SI
Fram,2313,SI
Frankolovo,3213,SI
Gabrovka,1274,SI
Globoko,8254,SI
Godovič,5275,SI
Golnik,4204,SI
Gomilsko,3303,SI
Gorenja vas,4224,SI
Gorica pri Slivnici,3263,SI
Gorišnica,2272,SI
Gornja Radgona,9250,SI
Gornji Grad,3342,SI
Gozd Martuljek,4282,SI
Gracišče,6272,SI
Grad,9264,SI
Gradac,8332,SI
Grahovo,1384,SI
Grahovo ob Bači,5242,SI
Grgar,5251,SI
Griže,3302,SI
Grobelno,3231,SI
Grosuplje,1290,SI
Hajdina,2288,SI
Hinje,8362,SI
Hoče,2311,SI
Hodoš/Hodos,9205,SI
Horjul,1354,SI
Hotedršica,1372,SI
Hrastnik,1430,SI
Hruševje,6225,SI
Hrušica,4276,SI
Idrija,5280,SI
Ig,1292,SI
Ilirska Bistrica,6250,SI
Ilirska Bistrica-Trnovo,6251,SI
Ivančna Gorica,1295,SI
Ivanjkovci,2259,SI
Izlake,1411,SI
Izola/Isola,6310,SI
Jakobski Dol,2222,SI
Jarenina,2221,SI
Jelšane,6254,SI
Jesenice,4270,SI
Jesenice na Dolenjskem,8261,SI
Jurklošter,3273,SI
Jurovski Dol,2223,SI
Juršinci,2256,SI
Kal nad Kanalom,5214,SI
Kalobje,3233,SI
Kamna Gorica,4246,SI
Kamnica,2351,SI
Kamnik,1241,SI
Kanal,5213,SI
Kapele,8258,SI
Kapla,2362,SI
Kidričevo,2325,SI
Kisovec,1412,SI
Knežak,6253,SI
Kobarid,5222,SI
Kobilje,9227,SI
Kočevje,1330,SI
Kočevska Reka,1338,SI
Kog,2276,SI
Kojsko,5211,SI
Komen,6223,SI
Komenda,1218,SI
Koper/Capodistria,6000,SI
Koper/Capodistria – P.P.,6001,SI
Koprivnica,8282,SI
Kostanjevica na Krasu,5296,SI
Kostanjevica na Krki,8311,SI
Kostel,1336,SI
Košana,6256,SI
Kotlje,2394,SI
Kozina,6240,SI
Kozje,3260,SI
Kranj,4000,SI
Kranj – P.P.,4001,SI
Kranjska Gora,4280,SI
Kresnice,1281,SI
Križe,4294,SI
Križevci,9206,SI
Križevci pri Ljutomeru,9242,SI
Krka,1301,SI
Krmelj,8296,SI
Kropa,4245,SI
Krška vas,8262,SI
Krško,8270,SI
Kuzma,9263,SI
Laporje,2318,SI
Laško,3270,SI
Laze v Tuhinju,1219,SI
Lenart v Slovenskih goricah Slovenskih,2230,SI
Lendava/Lendva,9220,SI
Lesce,4248,SI
Lesično,3261,SI
Leskovec pri Krškem,8273,SI
Libelice,2372,SI
Limbuš,2341,SI
Litija,1270,SI
Ljubečna,3202,SI
Ljubljana,1000,SI
Ljubljana – P.P.,1001,SI
Ljubljana – Črnuče,1231,SI
Ljubljana – Dobrunje,1261,SI
Ljubljana – Polje,1260,SI
Ljubljana – Šentvid,1210,SI
Ljubljana – Šmartno,1211,SI
Ljubno ob Savinji,3333,SI
Ljutomer,9240,SI
Loče,3215,SI
Log pod Mangartom,5231,SI
Log pri Brezovici,1358,SI
Logatec,1370,SI
Logatec,1371,SI
Loka pri Zidanem Mostu Zidanem,1434,SI
Loka pri Žusmu,3223,SI
Lokev,6219,SI
Loški Potok,1318,SI
Lovrenc na Dravskem polju Dravskem,2324,SI
Lovrenc na Pohorju,2344,SI
Luče,3334,SI
Lukovica,1225,SI
Mačkovci,9202,SI
Majšperk,2322,SI
Makole,2321,SI
Mala Nedelja,9243,SI
Malečnik,2229,SI
Marezige,6273,SI
Maribor,2000,SI
Maribor – P.P.,2001,SI
Marjeta na Dravskem polju,2206,SI
Markovci,2281,SI
Martjanci,9221,SI
Materija,6242,SI
Mavčiče,4211,SI
Medvode,1215,SI
Mengeš,1234,SI
Metlika,8330,SI
Mežica,2392,SI
Miklavž na Dravskem polju,2204,SI
Miklavž pri Ormožu,2275,SI
Miren,5291,SI
Mirna,8233,SI
Mirna Peč,8216,SI
Mislinja,2382,SI
Mojstrana,4281,SI
Mokronog,8230,SI
Moravče,1251,SI
Moravske Toplice,9226,SI
Most na Soči,5216,SI
Motnik,1221,SI
Mozirje,3330,SI
Murska Sobota,9000,SI
Murska Sobota – P.P.,9001,SI
Muta,2366,SI
Naklo,4202,SI
Nazarje,3331,SI
Notranje Gorice,1357,SI
Nova Cerkev,3203,SI
Nova Gorica,5000,SI
Nova Gorica – P.P.,5001,SI
Nova vas,1385,SI
Novo mesto,8000,SI
