oznaka,povrsina_tlorisna_neto,lastniski_delez,st_oseb,elaborat
13420,10.00,0.0004,0,342
13430,10.00,0.0004,0,343
13440,10.00,0.0004,0,344
13450,10.00,0.0004,0,345
13460,17.92,0.0008,0,346
13470,17.79,0.0008,0,347
13480,21.40,0.0009,0,348
13490,20.85,0.0009,0,349
13500,20.85,0.0009,0,350
13510,21.40,0.0009,0,351
13520,21.40,0.0009,0,352
13530,21.40,0.0009,0,353
13540,35.32,0.0015,0,354
13550,10.00,0.0004,0,355
13560,10.00,0.0004,0,356
13570,10.00,0.0004,0,357
13580,10.00,0.0004,0,358
13590,10.00,0.0004,0,359
13600,10.00,0.0004,0,360
13610,10.00,0.0004,0,361
13620,10.00,0.0004,0,362
13630,10.00,0.0004,0,363
13640,10.00,0.0004,0,364
13650,10.00,0.0004,0,365
13660,10.00,0.0004,0,366
13670,10.00,0.0004,0,367
13680,10.00,0.0004,0,368
13690,10.00,0.0004,0,369
13700,10.00,0.0004,0,370
13710,10.00,0.0004,0,371
13720,10.00,0.0004,0,372
13730,10.00,0.0004,0,373
13740,10.00,0.0004,0,374
13750,10.00,0.0004,0,375
13760,10.00,0.0004,0,376
13770,10.00,0.0004,0,377
13780,10.00,0.0004,0,378
13790,10.00,0.0004,0,379
13800,10.00,0.0004,0,380
13810,10.00,0.0004,0,381
13820,10.00,0.0004,0,382
13830,10.00,0.0004,0,383
13840,10.00,0.0004,0,384
13850,10.00,0.0004,0,385
13860,10.00,0.0004,0,386
13870,10.00,0.0004,0,387
13880,10.00,0.0004,0,388
13890,10.00,0.0004,0,389
13900,3.00,0.0001,0,390
13910,10.00,0.0004,0,391
13920,10.00,0.0004,0,392
13930,10.00,0.0004,0,393
13940,10.00,0.0004,0,394
13950,10.00,0.0004,0,395
13960,10.00,0.0004,0,396
13970,10.00,0.0004,0,397
13980,10.00,0.0004,0,398
13990,10.00,0.0004,0,399
14000,10.00,0.0004,0,400
14010,10.00,0.0004,0,401
14020,10.00,0.0004,0,402
14030,10.00,0.0004,0,403
14040,10.00,0.0004,0,404
14050,10.00,0.0004,0,405
14060,10.00,0.0004,0,406
14070,3.00,0.0001,0,407
14080,3.00,0.0001,0,408
14090,10.00,0.0004,0,409
14100,10.00,0.0004,0,410
14110,10.00,0.0004,0,411
14120,10.00,0.0004,0,412
14130,10.00,0.0004,0,413
14140,10.00,0.0004,0,414
14150,10.00,0.0004,0,415
14160,10.00,0.0004,0,416
14170,10.00,0.0004,0,417
14180,10.00,0.0004,0,418
14190,3.00,0.0001,0,419
14200,3.00,0.0001,0,420
14210,10.00,0.0004,0,421
14220,10.00,0.0004,0,422
14230,10.00,0.0004,0,423
14240,10.00,0.0004,0,424
14250,10.00,0.0004,0,425
14260,10.00,0.0004,0,426
14270,10.00,0.0004,0,427
14280,10.00,0.0004,0,428
14290,10.00,0.0004,0,429
14300,10.00,0.0004,0,430
14310,10.00,0.0004,0,431
14320,10.00,0.0004,0,432
14330,10.00,0.0004,0,433
14340,10.00,0.0004,0,434
14350,10.00,0.0004,0,435
14360,10.00,0.0004,0,436
14370,3.00,0.0001,0,437
14380,3.00,0.0001,0,438
14390,3.00,0.0001,0,439
14400,3.00,0.0001,0,440
14410,10.00,0.0004,0,441
14420,10.00,0.0004,0,442
14430,10.00,0.0004,0,443
14440,10.00,0.0004,0,444
14450,10.00,0.0004,0,445
14460,3.00,0.0001,0,446
14470,10.00,0.0004,0,447
14480,10.00,0.0004,0,448
14490,10.00,0.0004,0,449
14500,10.00,0.0004,0,450
14510,10.00,0.0004,0,451
14520,10.00,0.0004,0,452
14530,10.00,0.0004,0,453
14540,10.00,0.0004,0,454
14550,10.00,0.0004,0,455
14560,10.00,0.0004,0,456
14570,10.00,0.0004,0,457
14580,10.00,0.0004,0,458
14590,10.00,0.0004,0,459
14600,10.00,0.0004,0,460
14610,10.00,0.0004,0,461
14620,10.00,0.0004,0,462
14630,10.00,0.0004,0,463
14640,10.00,0.0004,0,464
14650,10.00,0.0004,0,465
14660,10.00,0.0004,0,466
14670,10.00,0.0004,0,467
14680,10.00,0.0004,0,468
14690,10.00,0.0004,0,469
14700,10.00,0.0004,0,470
14710,10.00,0.0004,0,471
14720,10.00,0.0004,0,472
14730,10.00,0.0004,0,473
14740,10.00,0.0004,0,474
14750,10.00,0.0004,0,475
14760,10.00,0.0004,0,476
14770,10.00,0.0004,0,477
14780,10.00,0.0004,0,478
14790,10.00,0.0004,0,479
14800,10.00,0.0004,0,480
14810,10.00,0.0004,0,481
14820,10.00,0.0004,0,482
14830,10.00,0.0004,0,483
14840,10.00,0.0004,0,484
14850,10.00,0.0004,0,485
14860,10.00,0.0004,0,486
14870,10.00,0.0004,0,487
14880,10.00,0.0004,0,488
14890,10.00,0.0004,0,489
14900,10.00,0.0004,0,490
14910,10.00,0.0004,0,491
14920,10.00,0.0004,0,492
14930,10.00,0.0004,0,493
14940,10.00,0.0004,0,494
14950,10.00,0.0004,0,495
14960,10.00,0.0004,0,496
14970,10.00,0.0004,0,497
14980,10.00,0.0004,0,498
14990,10.00,0.0004,0,499
15000,10.00,0.0004,0,500
15010,10.00,0.0004,0,501
15020,10.00,0.0004,0,502
