is_pravnaoseba,davcni_zavezanec,davcna_st,maticna_st,dolgo_ime,kratko_ime,naslov,posta,bic_koda,bancna_oznaka
TRUE,TRUE,57545197,,UNICREDIT BANKA SLOVENIJA D.D.,UNICREDIT BANKA SLOVENIJA D.D.,Šmartinska 140,1000,,
TRUE,TRUE,,,BANKA CELJE D.D.,BANKA CELJE D.D.,Vodnikova 2,3000,,
TRUE,TRUE,98026305,,BANKA KOPER D.D.,BANKA KOPER d.d. ,Pristaniška 14,6000,,
TRUE,TRUE,,,BANKA SPARKASSE D.D.,BANKA SPARKASSE D.D.,Cesta v Kleče 15,1000,,
TRUE,TRUE,94314527,,NOVA KREDITNA BANKA MARIBOR D.D.,NOVA KBM d.d. ,Ulica Vita Kraigherja 4,2000,,
TRUE,TRUE,91132550,,"NOVA LJUBLJANSKA BANKA d.d., Ljubljana",NLB d.d. ,Trg republike 2,1000,,
