oznaka,naslov,posta,program,opis,povrsina_tlorisna_neto,lastniski_delez
99,Delpinova ulica 18 B,5000,TRG,Trgovsko storitveni lokal,30.20,0.0013
100,Delpinova ulica 18 B,5000,TRG,Trgovsko storitveni lokal,22.84,0.0010
101,Delpinova ulica 18 B,5000,TRG,Trgovsko storitveni lokal,452.95,0.0192
102,Delpinova ulica 18 B,5000,TRG,Kavarna,230.98,0.0098
103,Delpinova ulica 18 B,5000,TRG,WC,4.07,0.0002
104,Delpinova ulica 18 B,5000,TRG,WC,4.07,0.0002
105,Delpinova ulica 18 B,5000,TRG,Pasaža,527.94,0.0045
106,Delpinova ulica 18 B,5000,TRG,Predprostor,12.42,0.0001
115,Delpinova ulica 18 B,5000,TRG,Avditorij,517.69,0.0002
116,Delpinova ulica 18 B,5000,TRG,Samopostrežna restavracija,679.84,0.0288
117,Delpinova ulica 18 B,5000,TRG,Trgovsko storitveni lokal,146.11,0.0062
118,Delpinova ulica 18 B,5000,TRG,Skladišče,4.19,0.0002
119,Delpinova ulica 18 B,5000,TRG,Skladišče,4.40,0.0002
120,Delpinova ulica 18 B,5000,TRG,Trgovsko storitveni lokal,113.83,0.0048
121,Delpinova ulica 18 B,5000,TRG,Konferenčni center,605.98,0.0257
122,Delpinova ulica 18 B,5000,TRG,Predprostor,17.40,0.0001
123,Delpinova ulica 18 B,5000,TRG,Tehnični prostor,5.72,0.0002
124,Delpinova ulica 18 B,5000,TRG,Pasaža,275.09,0.0023
125,Delpinova ulica 18 B,5000,TRG,Terasa,117.44,0.0005
126,Delpinova ulica 18 B,5000,TRG,Terasa koridor,40.41,0.0002
129,Delpinova ulica 18 B,5000,TRG,WC,47.32,0.0020
131,Delpinova ulica 18 B,5000,PIS,Pisarniški prostori,243.87,0.0103
132,Delpinova ulica 18 B,5000,TRG,Terasa bar,167.80,0.0071
133,Delpinova ulica 18 B,5000,TRG,Pasaža,128.58,0.0011
134,Delpinova ulica 18 B,5000,PIS,Pisarniški prostori,240.00,0.0102
135,Delpinova ulica 18 B,5000,TRG,Zunanja terasa,573.31,0.0002
136,Delpinova ulica 18 B,5000,PIS,Sprejemni prostor,30.95,0.0013
138,Delpinova ulica 18 B,5000,TRG,Letni vrt terasa bar,194.20,0.0041
150,Delpinova ulica 18 B,5000,PIS,Poslovna enota,1032.18,0.0533
155,Delpinova ulica 18 B,5000,PIS,Poslovna enota,491.00,0.0208
156,Delpinova ulica 18 B,5000,PIS,Poslovna enota,557.79,0.0236
160,Delpinova ulica 18 B,5000,PIS,Poslovna enota,1083.24,0.0459
164,Delpinova ulica 18 B,5000,PIS,Tehnični prostor,10.12,0.0004
165,Delpinova ulica 18 B,5000,PIS,Poslovna enota,1083.24,0.0459
193,Delpinova ulica 18 B,5000,PIS,Tehnični prostor,10.12,0.0004
194,Delpinova ulica 18 B,5000,PIS,Poslovna enota,1083.24,0.0459
198,Delpinova ulica 18 B,5000,PIS,Tehnični prostor,10.12,0.0004
199,Delpinova ulica 18 B,5000,PIS,Poslovna enota,1083.20,0.0459
203,Delpinova ulica 18 B,5000,PIS,Tehnični prostor,10.12,0.0004
204,Delpinova ulica 18 B,5000,PIS,Poslovna enota,1083.24,0.0459
208,Delpinova ulica 18 B,5000,PIS,Tehnični prostor,10.12,0.0004
209,Delpinova ulica 18 B,5000,PIS,Poslovna enota,939.39,0.0398
218,Delpinova ulica 18 B,5000,PIS,Tehnični prostor,9.89,0.0004
268,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
269,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
270,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
287,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
288,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
289,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
290,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
291,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
292,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - invalidi,10.00,0.0004
293,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - invalidi,10.00,0.0004
294,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
295,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
296,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
297,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
298,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
299,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
300,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
301,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
302,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
303,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
304,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
305,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
306,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
307,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
308,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
309,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
310,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
311,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
312,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
313,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
314,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
315,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
316,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
317,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
318,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
319,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
320,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
321,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
322,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
