oznaka,naziv,zap_st
TVZ,Tekoče vzdrževanje,3
PRG,Tehnični nadzori,4
CIS,Čiščenje,2
ZUN,Zunanje storitve,5
UPR,Upravljavske naloge,1
VOD,Vodstvo,0
